benchmark_id,taxon_candidate,origin_conflict,record_count,pair_count,complete_11_point_pair_count,pairwise_mean_error_px,pairwise_max_error_px,pairwise_mean_error_image_diagonal,review_threshold,above_threshold
flm_ee0a1603a98c4036,Coilia nasus,False,2,1,1,7.234029835737905,21.0,0.007234029835737905,0.02,False
flm_ef0e4abefb3a827d,Coilia nasus,False,2,1,1,3.445206196092907,11.045361017187261,0.003445206196092907,0.02,False
flm_f026c24498cb96aa,Coilia nasus,False,2,1,1,6.595810368800722,33.24154027718932,0.006595810368800721,0.02,False
flm_f03eed699fb073bb,Coilia nasus,False,2,1,1,4.7669194827010966,10.04987562112089,0.004766919482701097,0.02,False
flm_f1346307be734096,Coilia nasus,False,2,1,1,5.519144599498159,15.033296378372908,0.00551914459949816,0.02,False
flm_f1d51f4bae4bc9a9,Mylopharyngodon piceus,False,2,1,1,3.237224811739854,5.830951894845301,0.003237224811739854,0.02,False
flm_f4b9fd61e1f208f0,Coilia nasus,False,2,1,1,4.600026740135444,11.045361017187261,0.004600026740135444,0.02,False
flm_f67cd1d017e7cf24,Coilia nasus,False,2,1,1,4.074020479788939,11.180339887498949,0.004074020479788939,0.02,False
flm_f844e757ac43c22f,Coilia nasus,False,2,1,1,6.973903653156632,15.132745950421556,0.006973903653156632,0.02,False
flm_f8bd3fc803a73416,Mylopharyngodon piceus,False,2,1,1,2.547587639795518,5.0,0.002547587639795518,0.02,False
flm_fc05c2838cc7a5fd,Coilia nasus,False,2,1,1,5.193072740245222,15.0,0.005193072740245223,0.02,False
