benchmark_id,canonical_id,point_label,consensus_record_count,x_mad_px,y_mad_px,radial_mad_px
flm_25c7bd9bb75f0b92,7,lower caudal fin insertion,2,2.0,1.0,2.23606797749979
flm_25c7bd9bb75f0b92,8,anal fin origin,2,0.5,0.5,0.7071067811865476
flm_25c7bd9bb75f0b92,9,pelvic fin origin,2,2.0,0.0,2.0
flm_25c7bd9bb75f0b92,10,pectoral fin base,2,3.0,2.5,3.905124837953327
flm_25c7bd9bb75f0b92,11,posterior opercular margin,2,2.5,1.0,2.692582403567252
flm_25d5cf70b1095d72,1,snout tip,2,2.0,1.5,2.5
flm_25d5cf70b1095d72,2,nape dorsal outline,2,3.5,1.0,3.640054944640259
flm_25d5cf70b1095d72,3,dorsal fin origin,2,1.5,1.0,1.8027756377319946
flm_25d5cf70b1095d72,4,dorsal fin insertion,2,0.0,0.5,0.5
flm_25d5cf70b1095d72,5,upper caudal fin insertion,2,1.0,0.5,1.118033988749895
flm_25d5cf70b1095d72,6,caudal peduncle midpoint,2,1.0,1.0,1.4142135623730951
flm_25d5cf70b1095d72,7,lower caudal fin insertion,2,1.0,0.5,1.118033988749895
flm_25d5cf70b1095d72,8,anal fin origin,2,1.0,0.0,1.0
flm_25d5cf70b1095d72,9,pelvic fin origin,2,1.5,0.0,1.5
flm_25d5cf70b1095d72,10,pectoral fin base,2,1.5,1.0,1.8027756377319946
flm_25d5cf70b1095d72,11,posterior opercular margin,2,0.5,1.5,1.5811388300841898
flm_29b32cfc49c85d84,1,snout tip,2,0.5,0.5,0.7071067811865476
flm_29b32cfc49c85d84,2,nape dorsal outline,2,0.5,0.5,0.7071067811865476
flm_29b32cfc49c85d84,3,dorsal fin origin,2,0.5,0.5,0.7071067811865476
flm_29b32cfc49c85d84,4,dorsal fin insertion,2,9.0,0.0,9.0
flm_29b32cfc49c85d84,5,upper caudal fin insertion,2,4.0,0.5,4.031128874149275
flm_29b32cfc49c85d84,6,caudal peduncle midpoint,2,0.5,0.5,0.7071067811865476
flm_29b32cfc49c85d84,7,lower caudal fin insertion,2,3.0,1.5,3.3541019662496847
flm_29b32cfc49c85d84,8,anal fin origin,2,0.5,0.5,0.7071067811865476
flm_29b32cfc49c85d84,9,pelvic fin origin,2,8.0,1.0,8.06225774829855
flm_29b32cfc49c85d84,10,pectoral fin base,2,1.0,0.5,1.118033988749895
flm_29b32cfc49c85d84,11,posterior opercular margin,2,0.5,0.0,0.5
flm_2a31749a1dbe4331,1,snout tip,2,0.0,1.0,1.0
flm_2a31749a1dbe4331,2,nape dorsal outline,2,0.0,0.5,0.5
flm_2a31749a1dbe4331,3,dorsal fin origin,2,1.0,0.0,1.0
flm_2a31749a1dbe4331,4,dorsal fin insertion,2,1.0,0.5,1.118033988749895
flm_2a31749a1dbe4331,5,upper caudal fin insertion,2,8.0,0.5,8.0156097709407
flm_2a31749a1dbe4331,6,caudal peduncle midpoint,2,12.0,0.0,12.0
flm_2a31749a1dbe4331,7,lower caudal fin insertion,2,11.5,2.5,11.76860229593982
flm_2a31749a1dbe4331,8,anal fin origin,2,2.5,1.0,2.692582403567252
flm_2a31749a1dbe4331,9,pelvic fin origin,2,0.5,1.0,1.118033988749895
flm_2a31749a1dbe4331,10,pectoral fin base,2,0.0,0.5,0.5
flm_2a31749a1dbe4331,11,posterior opercular margin,2,1.0,0.5,1.118033988749895
